,BR,DEP_TIME,FG,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindSpeed,RA,SN,Unnamed: 0,sky
618,0.0,0.0,0.0,0.0,7.0,24.0,0.0,48.0,0.0,30.32,10.0,20.0,18.0,0.0,0.0,0.0,1.0
19347,0.0,14.0,0.0,30.06,31.0,49.0,0.0,50.0,30.06,30.03,10.0,41.0,25.0,0.0,0.0,10025.0,2.0
4604,0.0,0.0,0.0,0.0,14.0,23.0,0.0,68.0,0.0,30.14,10.0,20.0,15.0,0.0,0.0,0.0,3.0
164,0.0,0.0,0.0,0.0,-4.0,8.0,0.0,57.0,0.0,30.32,10.0,6.0,14.0,0.0,0.0,0.0,0.0
11843,0.0,0.0,0.0,30.15,19.0,33.0,0.0,56.0,30.14,30.12,10.0,28.0,11.0,0.0,0.0,1922.0,1.0
954,0.0,0.0,0.0,0.0,2.0,21.0,0.0,43.0,0.0,30.34,10.0,17.0,5.0,0.0,0.0,0.0,2.0
19025,0.0,4.0,0.0,30.3,44.0,45.0,0.01,97.0,30.29,30.27,7.0,45.0,10.0,0.0,0.0,9699.0,4.0
16583,0.0,14.0,1.0,29.39,54.0,54.0,0.01,100.0,29.39,29.36,0.25,54.0,14.0,1.0,0.0,7027.0,5.0
1380,0.0,0.0,0.0,0.0,-9.0,8.0,0.0,45.0,0.0,30.4,10.0,5.0,22.0,0.0,0.0,0.0,1.0
17810,0.0,21.0,0.0,30.36,20.0,35.0,0.0,54.0,30.36,30.34,10.0,30.0,14.0,0.0,0.0,8414.0,1.0
4522,0.0,0.0,0.0,0.0,14.0,23.0,0.0,68.0,0.0,30.14,10.0,20.0,15.0,0.0,0.0,0.0,3.0
18395,0.0,14.0,0.0,30.59,29.0,42.0,0.0,60.0,30.59,30.56,10.0,37.0,9.0,0.0,0.0,8999.0,1.0
8737,1.0,0.0,0.0,0.0,28.0,31.0,0.01,89.0,0.0,29.96,6.0,30.0,10.0,0.0,1.0,0.0,3.0
4582,0.0,0.0,0.0,0.0,18.0,27.0,0.0,69.0,0.0,30.16,10.0,24.0,16.0,0.0,0.0,0.0,2.0
10410,1.0,21.0,0.0,29.62,54.0,54.0,0.01,100.0,29.62,29.59,3.0,54.0,0.0,0.0,0.0,422.0,2.0
7475,0.0,0.0,0.0,0.0,3.0,27.0,0.0,35.0,0.0,30.58,10.0,21.0,6.0,0.0,0.0,0.0,3.0
16182,0.0,12.0,0.0,30.09,38.0,45.0,0.0,77.0,30.08,30.06,10.0,42.0,5.0,0.0,0.0,6596.0,1.0
1214,0.0,0.0,0.0,0.0,-8.0,7.0,0.0,50.0,0.0,30.42,10.0,5.0,21.0,0.0,0.0,0.0,1.0
6821,0.0,0.0,0.0,0.0,31.0,40.0,0.0,70.0,0.0,29.75,10.0,36.0,14.0,0.0,0.0,0.0,1.0
3004,0.0,0.0,1.0,0.0,40.0,42.0,0.0,92.0,0.0,30.37,10.0,41.0,0.0,0.0,0.0,0.0,3.0
19170,0.0,12.0,0.0,30.0,34.0,51.0,0.0,52.0,30.0,29.98,10.0,43.0,20.0,0.0,0.0,9848.0,3.0
6538,0.0,0.0,0.0,0.0,37.0,50.0,0.0,61.0,0.0,29.65,10.0,44.0,20.0,0.0,0.0,0.0,1.0
998,0.0,0.0,0.0,0.0,2.0,13.0,0.0,61.0,0.0,29.64,10.0,11.0,24.0,0.0,0.0,0.0,1.0
19260,0.0,20.0,0.0,30.18,31.0,43.0,0.0,63.0,30.18,30.16,10.0,38.0,14.0,0.0,0.0,9938.0,3.0
11012,0.0,8.0,0.0,29.95,23.0,39.0,0.0,53.0,29.95,29.93,10.0,33.0,21.0,0.0,0.0,1091.0,2.0
6425,1.0,0.0,0.0,0.0,51.0,51.0,0.01,100.0,0.0,29.52,0.5,51.0,22.0,0.0,0.0,0.0,6.0
1833,0.0,0.0,0.0,0.0,24.0,32.0,0.0,73.0,0.0,30.03,10.0,29.0,11.0,0.0,0.0,0.0,4.0
16748,0.0,0.0,0.0,29.76,53.0,53.0,0.05,100.0,29.75,29.74,7.0,53.0,20.0,1.0,0.0,7227.0,1.0
12786,0.0,2.0,0.0,30.53,17.0,29.0,0.0,61.0,30.53,30.5,10.0,25.0,9.0,0.0,0.0,2871.0,3.0
19031,1.0,5.0,0.0,30.28,45.0,45.0,0.01,100.0,30.27,30.25,5.0,45.0,9.0,1.0,0.0,9705.0,1.0
12157,0.0,23.0,0.0,30.47,11.0,28.0,0.0,49.0,30.47,30.45,10.0,23.0,10.0,0.0,0.0,2237.0,0.0
20003,1.0,18.0,0.0,30.14,44.0,44.0,0.13,100.0,30.14,30.11,3.0,44.0,14.0,1.0,0.0,10695.0,2.0
11268,0.0,4.0,0.0,30.1,17.0,28.0,0.0,63.0,30.09,30.08,10.0,25.0,3.0,0.0,0.0,1347.0,1.0
1326,0.0,0.0,0.0,0.0,-6.0,9.0,0.0,50.0,0.0,30.19,10.0,6.0,25.0,0.0,0.0,0.0,2.0
4639,0.0,0.0,0.0,0.0,15.0,24.0,0.0,68.0,0.0,30.16,10.0,21.0,15.0,0.0,0.0,0.0,3.0
11614,0.0,10.0,0.0,30.21,24.0,37.0,0.0,59.0,30.21,30.19,10.0,32.0,14.0,0.0,0.0,1693.0,1.0
19795,0.0,15.0,0.0,30.24,41.0,44.0,0.02,89.0,30.24,30.22,10.0,43.0,10.0,1.0,0.0,10473.0,1.0
1990,0.0,0.0,0.0,0.0,23.0,29.0,0.0,78.0,0.0,30.09,10.0,27.0,11.0,0.0,0.0,0.0,4.0
